"['std_base', 'var', 'mean_SNR', 'std_SNR', 'mean_STD', 'std_STD', 'mean_peak', 'std_peak']","[1, 0.5, 46.07144326537201, 16.971312768930638, 0.0022994424685781815, 0.0007392315032292154, 0.18826194233766638, 0.011620562291320592]"
"[2, 0.5, 20.937396248558866, 3.452628571735678, 0.004633082639835687, 0.0007078845795904322, 0.18958351527083372, 0.012210040695122356]"
"[3, 0.5, 13.685014040087804, 1.8334311998795902, 0.007073626498954148, 0.0007814489005459984, 0.19112149798454822, 0.012537318776055876]"
"[4, 0.5, 10.256014961038137, 1.1743762192491236, 0.009467514135174125, 0.0008421175588868653, 0.1926342408195976, 0.01332918758982319]"
"[5, 0.5, 8.377246626442695, 0.8671342233908967, 0.011776137408104822, 0.0009110933602924854, 0.1961943641391547, 0.014341588425269102]"
"[6, 0.5, 7.16248007347439, 0.7719948480802469, 0.014099502857580574, 0.0010264557924813049, 0.2008317028296751, 0.014746521051669926]"
"[7, 0.5, 6.220565388175662, 0.6737252680461886, 0.016395279219365164, 0.0011610471743584148, 0.20301537517867133, 0.01727863151264181]"
"[8, 0.5, 5.426989011134874, 0.6125450950351906, 0.018992748119247446, 0.001367719095655212, 0.20505155996491695, 0.017339801525803167]"
"[9, 0.5, 4.849403017526604, 0.49778999022899995, 0.021289626830545635, 0.0013338699695586093, 0.2058393401673628, 0.01872343806091215]"
"[10, 0.5, 4.490183317514276, 0.5435886678912106, 0.023574749825065702, 0.0015522348912889582, 0.21082857723264825, 0.02163011628541534]"
"[12, 1.5, 3.803254849058862, 0.5032516253514784, 0.028626941638960256, 0.002515044782161434, 0.21619954763591992, 0.022860358275430565]"
"[15, 1.5, 3.2504175589505486, 0.4179454126820023, 0.0353247200583187, 0.0025607030639230866, 0.2284865774936253, 0.02450767387914509]"
"[17, 1.5, 2.9491793749386774, 0.3849007403810568, 0.03987558774495316, 0.0028928065447765498, 0.23413093663008394, 0.026862245280618435]"
"[19, 1.5, 2.721279123631598, 0.40721279995225457, 0.044862735247637515, 0.0029253128934541967, 0.24325774492911123, 0.03334844374400175]"
